52362548A      Laura Rodriguez32             Calleja, 25    Madrid         916549684      25-2-1989      
69352158D      Luisa Mercero  26             Peñarroya, 34  Madrid         916541565      3-9-1964       
02545875L      Juan Boadella  25             Matadero, 34   Soria          953654544                     
69582364S      Pedro Martos   52             Cadiz, 34      Soria          626544141                     
39565875P      Ivanka Saries  19             Martorell, 34  Soria          626544165                     
75623658G      Emilia Vazquez 35             Benavides, 23  Soria          952654564                     
33652158F      Elvira Benart  37             Plaza Real, 23 Soria          635645655                     
01254875K      Carlos Ruiz    49             Eslovaquia, 12 Soria          669654146                     
65746454Q      Oscar Quintana 23             Austrias, 45   Madrid         919832165                     
96265154P      Monica Santos  25             Vinateros, 12  Madrid         916655285                     
50149641W      Sergio Sanchez 41             Puerta Sol, 12 Madrid         636584654                     
